individual,individual,species,date_eaten,date_excreted,recovered
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
C,284061,opuntia,3/1/16,,0
D,A73789572,opuntia,8/30/16,9/24/16,1
D,A73789572,opuntia,8/30/16,9/24/16,1
D,A73789572,opuntia,8/30/16,9/24/16,1
D,A73789572,opuntia,8/30/16,9/24/16,1
D,A73789572,opuntia,8/30/16,10/4/16,1
D,A73789572,opuntia,8/30/16,10/16/16,1
D,A73789572,opuntia,8/30/16,10/16/16,1
D,A73789572,opuntia,8/30/16,10/16/16,1
D,A73789572,opuntia,8/30/16,10/16/16,1
D,A73789572,opuntia,8/30/16,10/19/16,1
D,A73789572,opuntia,8/30/16,10/19/16,1
D,A73789572,opuntia,8/30/16,10/24/16,1
D,A73789572,opuntia,8/30/16,12/13/16,1
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
D,A73789572,opuntia,8/30/16,,0
